Histogram 
 val 120	 = 34
 val 121	 = 35
 val 122	 = 35
 val 123	 = 36
 val 124	 = 36
 val 125	 = 37
 val 126	 = 37
 val 127	 = 38
 val 128	 = 39
 val 129	 = 40
 val 130	 = 41
 val 131	 = 42
 val 132	 = 44
 val 133	 = 45
 val 134	 = 46
 val 135	 = 48
 val 136	 = 50
 val 137	 = 53
 val 138	 = 55
 val 139	 = 58
 val 140	 = 61
 val 141	 = 64
 val 142	 = 67
 val 143	 = 69
 val 144	 = 72
 val 145	 = 74
 val 146	 = 76
 val 147	 = 77
 val 148	 = 79
 val 149	 = 80
 val 150	 = 82
 val 151	 = 83
 val 152	 = 85
 val 153	 = 86
 val 154	 = 88
 val 155	 = 89
 val 156	 = 90
 val 157	 = 92
 val 158	 = 93
 val 159	 = 95
 val 160	 = 96
 val 161	 = 97
 val 162	 = 99
 val 163	 = 100
 val 164	 = 101
 val 165	 = 103
 val 166	 = 104
 val 167	 = 106
 val 168	 = 107
 val 169	 = 109
 val 170	 = 110
 val 171	 = 112
 val 172	 = 114
 val 173	 = 115
 val 174	 = 117
 val 175	 = 119
 val 176	 = 121
 val 177	 = 122
 val 178	 = 124
 val 179	 = 126
 val 180	 = 128
 val 181	 = 130
 val 182	 = 132
 val 183	 = 134
 val 184	 = 137
 val 185	 = 139
 val 186	 = 142
 val 187	 = 145
 val 188	 = 148
 val 189	 = 151
 val 190	 = 155
 val 191	 = 159
 val 192	 = 163
 val 193	 = 168
 val 194	 = 173
 val 195	 = 178
 val 196	 = 184
 val 197	 = 189
 val 198	 = 195
 val 199	 = 200
 val 200	 = 206
 val 201	 = 212
 val 202	 = 217
 val 203	 = 222
 val 204	 = 226
 val 205	 = 231
 val 206	 = 234
 val 207	 = 237
 val 208	 = 240
 val 209	 = 242
 val 210	 = 244
 val 211	 = 246
 val 212	 = 247
 val 213	 = 249
 val 214	 = 250
 val 215	 = 250
 val 216	 = 251
 val 217	 = 252
 val 218	 = 252
 val 219	 = 253
 val 220	 = 253
 val 221	 = 253
 val 222	 = 253
 val 223	 = 254
 val 224	 = 254
 val 225	 = 254
 val 226	 = 254
 val 227	 = 254
 val 228	 = 254
 val 229	 = 254
 val 230	 = 254
 val 231	 = 254
 val 232	 = 254
 val 233	 = 254
 val 234	 = 254
 val 235	 = 254
 val 236	 = 254
 val 237	 = 254
 val 238	 = 254
 val 239	 = 254
 val 240	 = 254
 val 241	 = 254
 val 242	 = 254
 val 243	 = 254
 val 244	 = 254
 val 245	 = 254
 val 246	 = 254
 val 247	 = 254
 val 248	 = 254
 val 249	 = 254
 val 250	 = 255
 val 251	 = 255
 val 252	 = 255
 val 253	 = 255
 val 254	 = 255
 val 255	 = 255
